id,prompt,expected_text,difficulty_notes,model_used,extracted_text,is_correct,error_description
001,"A vintage neon sign for a restaurant called 'Mama's Kitchen & Bakery Co.' with cursive lettering in bright pink and blue, mounted on a brick wall at night with rain reflections",Mama's Kitchen & Bakery Co.,"Cursive lettering, ampersand, apostrophe",imagen4,,,
002,"A retro sci-fi movie poster titled 'QUANTUM LEAP: BEYOND THE VOID' in bold metallic chrome letters with glowing blue edges, featuring a astronaut floating in space",QUANTUM LEAP: BEYOND THE VOID,"All caps, colon, metallic effect",imagen4,,,
003,"Graffiti on a subway wall reading 'REVOLUTION STARTS HERE!' in bold block letters with red and yellow spray paint, dripping effect",REVOLUTION STARTS HERE!,"Graffiti style, exclamation mark",imagen4,,,
004,Fantasy novel cover with the title 'The Enchanted Forest Chronicles: Book III' in ornate golden medieval font on a dark leather texture with mystical symbols,The Enchanted Forest Chronicles: Book III,"Roman numerals, colon, ornate font",imagen4,,,
005,Hand-painted protest sign on cardboard reading 'CLIMATE ACTION NOW! Save Our Planet for Future Generations' held by activists in a crowd,CLIMATE ACTION NOW! Save Our Planet for Future Generations,"Hand-painted style, mixed case, long text",imagen4,,,
006,Vintage whiskey bottle label reading 'MacTavish's Single Malt Scotch Whisky - Aged 18 Years - Est. 1847' with ornate borders and gold foil details,MacTavish's Single Malt Scotch Whisky - Aged 18 Years - Est. 1847,"Apostrophe, hyphens, numbers",imagen4,,,
007,"Psychedelic rock concert poster for 'The Electric Dreams Tour 2024' with wavy, distorted letters in rainbow colors and tie-dye background",The Electric Dreams Tour 2024,"Psychedelic distortion, year",imagen4,,,
008,Industrial warning sign with bold red letters reading 'DANGER: HIGH VOLTAGE - AUTHORIZED PERSONNEL ONLY' with lightning bolt symbols,DANGER: HIGH VOLTAGE - AUTHORIZED PERSONNEL ONLY,"Warning format, colon, hyphen",imagen4,,,
009,Chalkboard cafe menu with handwritten text 'Today's Special: Butternut Squash Soup & Artisan Grilled Cheese - $12.99' in white chalk,Today's Special: Butternut Squash Soup & Artisan Grilled Cheese - $12.99,"Handwritten style, price format, ampersand",imagen4,,,
010,"Retro arcade game screen showing 'GAME OVER - INSERT COIN TO CONTINUE - HIGH SCORE: 1,250,300' in pixelated 8-bit font","GAME OVER - INSERT COIN TO CONTINUE - HIGH SCORE: 1,250,300","Pixelated font, numbers with commas",imagen4,,,
011,University diploma with formal text 'Harvard University hereby confers upon Jane Elizabeth Smith the degree of Master of Business Administration' in elegant serif font,Harvard University hereby confers upon Jane Elizabeth Smith the degree of Master of Business Administration,"Formal language, full name, long title",imagen4,,,
012,"Instagram-style post with text overlay '#MondayMotivation: ""Believe in yourself & all that you are!"" - Follow @inspirequotes for more' in trendy font","#MondayMotivation: ""Believe in yourself & all that you are!"" - Follow @inspirequotes for more","Hashtag, quotation marks, at symbol",imagen4,,,
013,Ancient Roman inscription carved in stone reading 'SENATUS POPULUSQUE ROMANUS ANNO DOMINI MMXXIV' with weathered marble texture,SENATUS POPULUSQUE ROMANUS ANNO DOMINI MMXXIV,"Latin text, Roman numerals",imagen4,,,
014,"Futuristic holographic display showing 'QUANTUM COMPUTER STATUS: ONLINE - QUBITS: 1,024 - COHERENCE TIME: 0.5ms' in glowing blue text","QUANTUM COMPUTER STATUS: ONLINE - QUBITS: 1,024 - COHERENCE TIME: 0.5ms","Technical terms, numbers and units",imagen4,,,
015,"Artisan bakery box label reading 'Fresh Baked Daily: Croissants, Pain au Chocolat & Sourdough Bread - Baker's Dozen Special' in rustic lettering","Fresh Baked Daily: Croissants, Pain au Chocolat & Sourdough Bread - Baker's Dozen Special","French words, apostrophe, long text",imagen4,,,
016,"Wedding invitation with elegant calligraphy reading 'Sarah & Michael request the pleasure of your company on Saturday, June 15th, 2024 at 4:00 PM'","Sarah & Michael request the pleasure of your company on Saturday, June 15th, 2024 at 4:00 PM","Calligraphy style, date format, time",imagen4,,,
017,Stadium scoreboard displaying 'WORLD CUP FINAL 2024: BRAZIL vs. ARGENTINA - SCORE: 2-1 - TIME: 89:45' in bold digital letters,WORLD CUP FINAL 2024: BRAZIL vs. ARGENTINA - SCORE: 2-1 - TIME: 89:45,"Sports format, versus abbreviation",imagen4,,,
018,Hospital emergency room sign reading 'EMERGENCY DEPARTMENT - TRAUMA CENTER LEVEL I - For Life-Threatening Emergencies Only' in bold red letters,EMERGENCY DEPARTMENT - TRAUMA CENTER LEVEL I - For Life-Threatening Emergencies Only,"Medical terminology, Roman numeral",imagen4,,,
